Source,Target,Weight
'Ned Flanders','Maggie Simpson',18
'Principal Seymour Skinner','Maggie Simpson',18
'Principal Seymour Skinner','Selma Bouvier',18
'Moe Szyslak','Apu Nahasapeemapetilon',18
'Milhouse Van Houten','Patty Bouvier',18
'Carl Carlson','Maggie Simpson',18
'Carl Carlson','Selma Bouvier',18
'Sideshow Bob','Homer Simpson',17
'Carl Carlson','Waylon Smithers',17
"'Mayor \""Diamond Joe\"" Quimby'",'Milhouse Van Houten',17
'Grampa Abraham Simpson','Lisa Simpson',17
'Chief Clancy Wiggum','Apu Nahasapeemapetilon',16
'Barney Gumble','Maggie Simpson',16
'Barney Gumble','Chief Clancy Wiggum',16
'Principal Seymour Skinner','Ned Flanders',16
'Superintendent Gary Chalmers','Marge Simpson',16
'Sideshow Bob','Lisa Simpson',15
'Ned Flanders','Selma Bouvier',15
'Principal Seymour Skinner','Jimbo Jones',15
'Snowball','Bart Simpson',15
'Snowball','Lisa Simpson',15
'Moe Szyslak','Patty Bouvier',15
'Milhouse Van Houten','Jimbo Jones',15
"'Mayor \""Diamond Joe\"" Quimby'","'Charles Montgomery \""Monty\"" Burns'",15
'Sideshow Bob','Marge Simpson',14
'Patty Bouvier','Maggie Simpson',14
'Selma Bouvier','Chief Clancy Wiggum',14
'Principal Seymour Skinner',"'Charles Montgomery \""Monty\"" Burns'",14
'Waylon Smithers','Principal Seymour Skinner',14
'Snowball','Homer Simpson',14
'Moe Szyslak','Jimbo Jones',14
'Milhouse Van Houten','Apu Nahasapeemapetilon',14
"'Mayor \""Diamond Joe\"" Quimby'",'Principal Seymour Skinner',14
'Chief Clancy Wiggum','Jimbo Jones',13
"'Charles Montgomery \""Monty\"" Burns'",'Selma Bouvier',13
'Ned Flanders','Reverend Timothy Lovejoy',13
'Barney Gumble','Selma Bouvier',13
'Santa\'s Little Helper','Maggie Simpson',13
'Principal Seymour Skinner','Barney Gumble',13
'Waylon Smithers','Maggie Simpson',13
'Moe Szyslak','Santa\'s Little Helper',13
'Milhouse Van Houten','Santa\'s Little Helper',13
'Kent Brockman',"'Charles Montgomery \""Monty\"" Burns'",13
"'Mayor \""Diamond Joe\"" Quimby'",'Chief Clancy Wiggum',13
'Professor John Frink',"'Charles Montgomery \""Monty\"" Burns'",13
'Jimbo Jones','Maggie Simpson',12
'Lionel Hutz','Homer Simpson',12
'Lionel Hutz','Marge Simpson',12
"'Charles Montgomery \""Monty\"" Burns'",'Apu Nahasapeemapetilon',12
'Ned Flanders','Patty Bouvier',12
'Barney Gumble','Apu Nahasapeemapetilon',12
'Santa\'s Little Helper',"'Charles Montgomery \""Monty\"" Burns'",12
'Principal Seymour Skinner','Dolph Starbeam',12
'Principal Seymour Skinner','Kearney Zzyzwicz',12
'Principal Seymour Skinner','Apu Nahasapeemapetilon',12
'Waylon Smithers','Chief Clancy Wiggum',12
'Snowball','Marge Simpson',12
'Moe Szyslak','Dolph Starbeam',12
'Milhouse Van Houten','Barney Gumble',12
'Carl Carlson','Patty Bouvier',12
'Carl Carlson','Ned Flanders',12
'Carl Carlson','Principal Seymour Skinner',12
'The Rich Texan','Homer Simpson',12
"'Mayor \""Diamond Joe\"" Quimby'",'Moe Szyslak',12
'Professor John Frink','Maggie Simpson',12
'Professor John Frink','Moe Szyslak',12
'Jasper Beardly','Homer Simpson',11
'Lionel Hutz','Bart Simpson',11
'Lionel Hutz','Lisa Simpson',11
'Principal Seymour Skinner','Patty Bouvier',11
'Moe Szyslak','Kearney Zzyzwicz',11
'Milhouse Van Houten','Dolph Starbeam',11
'Milhouse Van Houten','Kearney Zzyzwicz',11
'Carl Carlson','Santa\'s Little Helper',11
'The Rich Texan','Bart Simpson',11
'The Rich Texan','Lisa Simpson',11
"'Mayor \""Diamond Joe\"" Quimby'",'Selma Bouvier',11
'Professor John Frink','Selma Bouvier',11
'Professor John Frink','Principal Seymour Skinner',11
'Professor John Frink','Milhouse Van Houten',11
'Apu Nahasapeemapetilon','Maggie Simpson',10
'Jasper Beardly','Bart Simpson',10
'Jasper Beardly','Lisa Simpson',10
'Principal Seymour Skinner','Santa\'s Little Helper',10
'Milhouse Van Houten','Waylon Smithers',10
'The Rich Texan','Marge Simpson',10
"'Mayor \""Diamond Joe\"" Quimby'",'Maggie Simpson',10
"'Mayor \""Diamond Joe\"" Quimby'",'Carl Carlson',10
'Professor John Frink','Chief Clancy Wiggum',10
'Grampa Abraham Simpson',"'Charles Montgomery \""Monty\"" Burns'",10
